id,Date,User_id,Tweets,Likes,Retweets,Replies
79,2022-03-17 11:18:27+00:00,23,ms de 300000 expertos en ciberseguridad se han unido en una especie de ejrcito it en ucrania para llevar a cabo ataques informticos contra infraestructuras y empresas rusas httpstcocerwgvqwqw,0,0,0
80,2022-03-17 08:52:24+00:00,36,en 2021 las instituciones que forman profesionales digitales con modelos de bootcamp prepararon a ms personas que el 94 de las universidades espaolas adalabdigital thebridgetech ironhack httpstcozyzelrndlo,5,0,1
81,2022-03-15 19:01:18+00:00,10," weve combed through student amp alumni reviews to find the 17 best cyber security bootcamps of 2022 including leveleffect nexgent simplilearn springboard and thebridgetech 
httpstcot9vcets80t httpstcouhs3m8ksbt",3,2,0
82,2022-03-14 23:28:02+00:00,55,pickyuan thebridgetech pagepersonnel yo por experiencia te dira que busques otra escuela cuando las cosas funcionan bien todo muy bonito ahora cuando no no hacen nada y te dicen que esto es lo que hay ,0,0,0
83,2022-03-14 16:34:24+00:00,23,muy contentos por todos ellos 100 empleabilidad en la promocin de junio gracias desde thebridgetech por confiar y ponerlo todo tan fcil felicidades fullstackdevelopers datascientists digitalmarketers uxuidesigners cybersecurityanalysts  httpstcor0egi9qxv5,3,1,0
84,2022-03-11 19:07:12+00:00,23,"la ciberseguridad ms necesaria que nunca

el sectortecnolgico pide ms financiacin y formacin de profesionales para evitar ataques a sectores claves para la economa como energa finanzas y transporte  httpstcooxy8jpravs",0,0,0
85,2022-03-11 08:11:49+00:00,23,"algn identificado en la sala 

desarrolloweb css fullstackdeveloper httpstco169uxts1b5",0,0,0
86,2022-03-09 13:02:12+00:00,23,faltan por salir las listas de uxuiproductdesign datascience y desarrollowebfullstack sera estupendo volver a aparecer,1,0,0
87,2022-03-09 12:09:36+00:00,23,el bootcamp de ciberseguridad de thebridgetech vuelve a estar entre los mejores bootcamps del mundo y este ao tambin nos estrenamos con el de digitalmarketingops que entra por primera vez en la lista de coursereport una sper noticiagracias a todos bestbootcamps httpstco3xshvybdst,2,2,1
88,2022-03-05 15:02:16+00:00,51,"da para agradecer a thebridgetech y glovoes la oportunidad que han dado a estos dos cracks para formarse con codeorg en programacin por bloques en un curso de 48 horas de duracin
bravo  
 httpstcoztcrrohqtc",13,0,0
89,2022-03-03 14:55:10+00:00,21,opinin por ms mujeres lderes en tecnologa httpstcofqvefl1ljq httpstcosfofiev1uo thebridgetech httpstcokbo9xgdgru,0,0,0
90,2022-03-03 14:54:32+00:00,21,opinin por ms mujeres lderes en tecnologa  httpstcofqvefl1ljq thebridgetech httpstcote5sxsbaat,0,0,0
91,2022-03-03 14:45:14+00:00,23,pickyuan pagepersonnel sentimos mucho el fallo tcnico revisaremos que pudo pasar pueden conectarse a prximos eventos o contactarnos si quieren ms informacin sobre la escuela llamar al 919 01 72 57 gracias,1,0,0
92,2022-03-02 18:25:08+00:00,19,"thebridgetech pagepersonnel mi hijo y yo nos apuntamos con muchos das de antelacin
hoy a las 7 nos conectamos y aparece el mensaje enlace caducado no nos hemos podido conectar
es una pena que adems de tener que recurrir a lo online con la frialdad que supone ocurran estos fallos tcnicos
muy mal",0,0,2
93,2022-03-02 08:34:22+00:00,23,"empezamos el 21 de marzo en sevilla no te puedes perder este taller de empleabilidad con el que arrancamos  entradas httpstco91m74qeah2
hoy a las 19h
cisabela 1 sevilla
encamarasevilla httpstcoeuwktckqyp",1,0,0
94,2022-02-28 10:49:52+00:00,18,"toma contacto con el marketingdigital de la mano de thebridgetech aprende a usar el contenido el email las redes sociales y la publicidad digital en este taller impartido por jpereznavarrete

jueves 3 de marzo 1819h online

eventodelasemana  masterclass mynews",2,0,1
95,2022-02-28 08:23:30+00:00,23,gracias insidezeusdata y vicencf por la jornada formativa fue toda una experiencia para nuestros alumnos de valencia  httpstcoccjh9dgb2f,2,0,0
96,2022-02-25 13:15:24+00:00,42,"nuestro pmo vicencf da una clase a los alumnos de thebridgetech  en nuestras instalaciones 

bigdata data education httpstcojiskmovu0m",4,1,0
97,2022-02-25 11:02:36+00:00,23,"datascientist mirad esto  cmo laliga utiliza el dato y la inteligencia artificial ia para predecir cules son las mejores fechas para celebrar partidos monitorizar la venta de entradas interesante conocer su filial laligatech httpstcohrewhleivh
datascience",1,0,0
98,2022-02-25 07:59:12+00:00,23,gracias a vosotros los alumnos se llevaron grandes consejos y una visin del mercado laboral en profesiones tech desde la perspectiva de seleccion y recruitment  pagepersonneles michaelpagees httpstcogag9m8ptoa,1,0,0
99,2022-02-24 15:13:05+00:00,48,"hace unos das nuestras compaeras ins bdiri y alba calvo estuvieron en la aceleradora de talento digital thebridgetech para contar a sus alumnos las best practices en la bsqueda de empleo y fue un xito 

gracias a todos los asistentes httpstcojlvri7z6ti",0,0,0
100,2022-02-22 15:12:12+00:00,23,si veis estos carteles por sevilla s somos nosotros aterrizamos en marzo con los bootcamps en datascience y desarrollowebfullstack pide informacin sin compromiso en colaboracin con encamarasevilla y camaradesevilla  httpstcov8mmlfalec httpstcojuoblk4f7v,2,2,0
101,2022-02-22 07:20:00+00:00,12,"ltima semana
an puedes solicitar una de las becas que otorgamos junto a indracompany para la realizacin de un bootcamp de desarrollo web fullstack en thebridgetech 

10 becas dirigidas a personas con discapacidad con formaciones stem  httpstcoubl3gyg3gl httpstcoyhuvz4zcxg",6,1,0
102,2022-02-21 10:43:12+00:00,23,nuevos eventos para febrero y marzo talleres sobre ia marketingdigital empleabilidad ciber datascience no te los pierdas e inscrbete  httpstcobsstjrdh8l httpstco4b1jxjmmlo,0,0,0
103,2022-02-19 15:18:18+00:00,55,yo he cado en el bootcamp de data science de thebridgetech en madrid si valor agregado consiste en presionarte para que aprendas por tu cuenta si no aprendes es t culpa porque su mtodo es muy slido aunque se queje el 50 de la clase httpstcog892eydfyy,0,1,0
104,2022-02-18 10:57:48+00:00,14,an no has solicitado tu beca para el bootcamp de desarrollo web fullstack en thebridgetech si tienes discapacidad y una formacin universitaria stem puedes recibir una de las 10 becas de indracompany y funiversia inscrbete ya httpstcowyjp06qe9c httpstcobldy1dvoka,8,5,0
105,2022-02-15 17:32:04+00:00,25,presentando nuestra 2 edicin del programa de mentoring de forma presencial en thebridgetech encantadas con la asistencia y el apoyo de nuestros mentores y mentees  muchas gracias womenincyber w4c httpstcojcpyhb5aze,8,1,0
106,2022-02-13 19:38:48+00:00,1,peritecno jcgalindo women4cybersp thebridgetech bbva sanitas uniccict eduvigisortiz timasoni qu pena no poder asistir de manera presencial y poder conocer al resto de mentores y mentees,2,0,0
107,2022-02-12 17:51:40+00:00,56,uxbspodcast el bootcamp de thebridgetech,4,1,0
108,2022-02-11 10:38:26+00:00,23,hoy se celebra vlc tech women con motivo del diadelamujerylaniaenlaciencia un evento en el que se hablar de inteligencia artificial datos y el futuro de la mujer en la tecnologa acmupv acmwupv httpstcoohdbkhnsqq promete ser muy interesante,0,1,0
109,2022-02-10 15:50:18+00:00,23,sevilla est llena de talentos digitales por descubrir te animas a conocer las profesiones del futuroven al taller y conoce de la mano de pagepersonnel los perfiles ms demandados saca tus entradas 2 de marzo 19h httpstco5umpplardx,1,1,1
110,2022-02-08 10:42:03+00:00,24,feliz martes porque podemos anunciar que los proptech thursdays aterrizan en madrid el 3 de marzo hemos creado estos eventos mensuales con la colaboracin de apicatalunya  y thebridgetech  y podis reservar vuestras entradas en este enlace httpstcochfffdua9z,2,0,1
111,2022-02-08 09:00:22+00:00,12,"an puedes solicitar una de las becas que otorgamos junto a indracompany para la realizacin de un bootcamp de desarrollo web fullstack en thebridgetech 

son 10 becas dirigidas a personas con discapacidad con formaciones stem  httpstcoubl3gyycut httpstcokazkvxpfky",3,0,0
112,2022-02-06 21:01:55+00:00,28,"muchas ganas de hablar este martes con alumnos de thebridgetech acerca de como hacemos datascience machinelearning en decathlon
httpstcoasaw5w6uht httpstco4hotenbx7p",1,0,0
113,2022-02-03 14:49:57+00:00,59,automatizacin y el covid19 en el horizonte del nuevo trabajador httpstcoaa3d4d199h talentoprofesional thebridge automatizacion thebridgetech,1,0,0
114,2022-02-03 10:18:12+00:00,23,"nos visita decathlones  si te interesa la ciencia de datos y cmo se aplica a proyectos reales apntate al evento  el 8 de febrero a las 1730h 
datascience bestpractice freeevent
httpstcopxyfxll3fa",3,1,0
115,2022-02-02 09:47:00+00:00,23,"cada vez se habla ms de las soft skills y de lo importante que son para aplicar a posiciones tecnolgicas descubre cules son en nuestro evento soft skills en tiempos de robots saca tu entrada 
httpstcopfcdscwdtp",0,0,0
116,2022-02-01 16:40:00+00:00,35," impulsa tu carrera profesional con los nuevos bootcamps de la encamarasevilla

participa en el openday de los bootcamps de data science y desarrollo web full stack con thebridgetech

ms informacin en 

httpstcocsptlfsjr8 httpstcomodb2h17pc",2,2,0
117,2022-01-31 15:08:09+00:00,14,"an puedes solicitar una de las becas que otorgamos junto a funiversia para la realizacin de un bootcamp de desarrollo web fullstack en thebridgetech 
son 10 becas dirigidas a personas con discapacidad con formaciones stem  httpstcowyjp06qe9c httpstcooycentarmr",6,2,0
118,2022-01-27 08:33:56+00:00,52,kenia913 jorgesll chemacorbacho inessainzof chancees thebridgetech no es as hay una carrera universitaria llamada ciencia de datos y tambin postgrados pero lo que ha hecho ella es un curso de 15 semanas que no require tener estudios previos el nico requisito haber cumplido 18 aos 15 semanas de curso y se autodefine como cientfica ,0,0,0
119,2022-01-26 18:00:00+00:00,22," funiversia indracompany y thebridgetech ponen en marcha programa de formacin tecnolgica gratuita para personas con discapacidad

lee ms aqu  httpstco8s1qitk66i httpstcoi2gfpumung",1,0,0
120,2022-01-25 12:04:30+00:00,4,"universiaes indracompany i thebridgetech signen un acord per a engegar un programa de beques dirigit a persones amb discapacitat que compten amb estudis stem als quals donaran accs a un bootcamp daprenentatge en desenvolupament web fullstack

httpstcodd3g8smknu httpstcokwtycciybv",1,0,0
121,2022-01-24 11:54:42+00:00,23,"open day sevilla asiste al evento y conoce ms sobre los bootcamps de datascience y desarrollowebfullstack en nuestra nueva sede en la encamarasevilla camaradesevilla ests pensando en acelerar tu carrera digital

saca ya tus entradashttpstcoj6mtrz4ndb",3,3,0
122,2022-01-22 10:16:00+00:00,23,"inside the bridge emocin a flor de piel as reacciona miriam snchez la profe de uxui a los proyectosfinales de los alumnos se puede decir que ya son uxui designers 

uxui bootcamp clases motivacion palabrasraras httpstcobu5zagctpv",1,1,0
